iter	RMSE
166	18317.39124
167	18270.41738
168	18216.71393
169	18170.14327
170	18120.56701
171	18080.60085
172	18038.81225
173	18019.22909
174	17954.75919
175	17937.14132
176	17897.04983
177	17845.13632
178	17800.43074
179	17779.47172
180	17748.62631
181	17714.93525
182	17654.34029
183	17635.01983
184	17604.59598
185	17543.488
186	17529.78794
187	17493.61565
188	17466.8599
189	17440.68552
190	17418.1292
191	17394.54163
192	17357.27465
193	17311.33844
194	17256.42641
195	17235.15483
196	17210.73499
197	17194.88372
198	17178.48879
199	17144.74894
200	17113.09943
201	17076.99944
202	17038.91415
203	17010.79139
204	16970.50571
205	16927.76658
206	16916.24708
207	16867.32531
208	16805.06149
209	16772.42118
210	16759.34553
211	16713.05096
212	16685.30819
213	16674.38109
214	16626.65422
215	16617.13097
216	16569.36149
217	16534.83807
218	16514.41938
219	16494.07488
220	16445.85953
221	16410.37666
222	16373.29081
223	16353.78842
224	16317.0168
225	16261.17462
226	16230.24314
227	16196.21549
228	16179.81146
229	16152.67597
230	16122.53033
231	16084.63011
232	16054.20727
233	16018.39314
234	15981.8387
235	15943.82178
236	15904.76761
237	15868.52725
238	15846.95368
239	15809.21711
240	15779.09904
241	15730.14863
242	15693.49791
243	15659.86933
244	15631.87672
245	15599.01855
246	15568.15882
247	15538.43219
248	15516.22405
249	15479.99956
250	15456.55062
251	15422.89192
252	15394.71684
253	15358.6883
254	15337.31723
255	15308.51602
256	15283.52833
257	15243.07608
258	15210.31983
259	15156.20551
260	15133.25931
261	15090.78021
262	15061.71293
263	15034.12517
264	14983.87673
265	14948.0458
266	14901.87199
267	14874.23226
268	14840.44635
269	14801.91575
270	14772.50241
271	14757.16147
272	14712.05299
273	14680.25035
274	14650.71428
275	14616.95249
276	14595.34906
277	14563.36486
278	14537.79047
279	14519.5756
280	14475.73206
281	14447.38656
282	14422.92558
283	14381.69238
284	14350.93332
285	14330.85845
286	14304.78981
287	14274.32939
288	14242.89272
289	14214.02702
290	14174.95092
291	14144.92107
292	14116.51203
293	14100.78154
294	14066.3441
295	14027.24484
296	13999.97945
297	13968.54248
298	13947.3929
299	13920.1671
300	13889.00186
301	13876.93282
302	13843.73933
303	13821.8963
304	13798.33162
305	13770.87068
306	13761.189
307	13733.51022
308	13699.32651
309	13691.00686
310	13662.74532
311	13637.02168
312	13623.67816
313	13591.78026
314	13574.82672
315	13558.83347
316	13537.28737
317	13516.95221
318	13487.75671
319	13470.43006
320	13451.24478
321	13422.25985
322	13394.31399
323	13372.2816
324	13342.72785
325	13329.91446
326	13302.59615
327	13288.96355
328	13266.88839
329	13263.94214
330	13250.47777
331	13222.59291
332	13193.67085
333	13170.51489
334	13139.2986
335	13136.64516
336	13098.3706
337	13075.20226
338	13042.74619
339	13014.48317
340	12993.90616
341	12982.61697
342	12965.00351
343	12962.46411
344	12941.01879
345	12912.1367
346	12891.87725
347	12866.515
348	12852.47691
349	12822.90022
350	12806.32248
351	12783.23226
352	12754.93803
353	12728.30383
354	12725.83062
355	12700.7568
356	12687.57707
357	12669.71181
358	12641.81974
359	12610.10304
360	12588.87504
361	12584.3982
362	12571.15652
363	12543.76047
364	12523.75192
365	12508.82136
366	12479.17386
367	12475.86925
368	12473.56369
369	12450.41808
370	12441.15691
371	12411.04874
372	12382.57333
373	12348.22951
374	12321.70481
375	12287.50545
376	12261.44768
377	12259.17237
378	12256.96828
379	12231.29732
380	12229.18464
381	12220.98415
382	12202.01326
383	12179.98701
384	12159.2548
385	12144.99751
386	12124.35965
387	12110.89634
388	12089.8626
389	12066.72969
390	12050.06445
391	12019.34649
392	12007.11106
393	11980.74925
394	11959.42222
395	11935.28146
396	11917.59632
397	11882.25819
398	11870.79818
399	11855.94028
400	11827.67705
401	11812.87461
402	11804.74309
403	11779.44259
404	11777.30511
405	11751.40672
406	11739.47684
407	11735.75557
408	11721.09044
409	11717.48685
410	11696.27357
411	11666.13195
412	11655.99275
413	11640.83114
414	11620.39102
415	11601.85401
416	11578.93683
417	11571.32314
418	11568.88386
419	11566.99089
420	11552.40568
421	11533.70302
422	11515.59673
423	11496.87261
424	11473.54871
425	11463.47538
426	11455.33343
427	11427.17478
428	11400.70712
429	11371.43052
430	11353.33268
431	11330.85683
432	11312.79402
433	11291.67864
434	11278.67063
435	11270.58446
436	11246.01818
437	11239.35637
438	11225.44913
439	11223.72615
440	11205.80234
441	11204.12343
442	11196.08916
443	11184.12818
444	11164.75272
445	11139.35612
446	11117.66998
447	11116.04344
448	11091.94254
449	11084.21575
450	11070.28329
451	11043.06726
452	11032.76497
453	11024.30022
454	11008.04323
455	10982.67763
456	10958.74167
457	10951.93559
458	10927.93558
459	10926.32809
460	10911.61695
461	10910.07985
462	10908.56742
463	10907.03828
464	10897.78736
465	10878.6979
466	10854.20589
467	10848.75085
468	10823.36156
469	10794.21438
470	10767.78186
471	10747.5643
472	10746.04975
473	10727.62848
474	10711.46387
475	10700.48263
476	10673.88628
477	10659.04776
478	10647.17251
479	10632.01108
480	10622.93264
481	10612.61839
482	10606.42026
483	10585.59546
484	10580.36074
485	10570.25576
486	10555.00565
487	10544.8619
488	10527.83478
489	10519.1532
490	10496.75454
491	10477.35343
492	10464.9266
493	10460.32702
494	10442.04908
495	10418.66504
496	10412.79223
497	10402.98189
498	10386.62888
499	10379.92273
500	10365.70377
501	10353.06741
502	10328.88527
503	10305.03031
504	10285.701
505	10264.68137
506	10251.18227
507	10234.58876
508	10216.8942
509	10199.72924
510	10192.56154
511	10186.65525
512	10173.54998
513	10158.41924
514	10143.07047
515	10129.849
516	10106.9392
517	10105.57262
518	10099.30654
519	10094.38519
520	10085.04754
521	10064.88238
522	10037.19177
523	10027.05461
524	10014.48636
525	9996.622271
526	9982.476325
527	9956.842804
528	9943.508331
529	9937.324872
530	9918.847737
531	9904.490839
532	9881.572955
533	9877.802295
534	9861.95086
535	9846.073049
536	9829.146813
537	9813.212948
538	9808.884484
539	9800.417108
540	9783.766811
541	9766.04216
542	9745.35962
543	9711.651321
544	9693.975171
545	9686.881193
546	9683.640981
547	9676.662828
548	9667.041477
549	9660.098363
550	9652.734294
551	9624.643236
552	9609.165979
553	9580.352504
554	9579.159613
555	9571.356527
556	9559.57959
557	9546.143348
558	9528.950837
559	9519.144475
560	9517.68256
561	9501.783544
562	9487.090993
563	9480.679228
564	9476.492323
565	9464.594072
566	9460.902504
567	9451.184819
568	9443.315723
569	9430.299392
570	9409.238752
571	9396.344402
572	9391.719329
573	9388.17809
574	9371.931581
575	9351.319703
576	9332.225725
577	9320.747171
578	9310.203634
579	9305.504673
580	9296.263569
581	9284.406995
582	9280.063124
583	9260.716009
584	9246.063509
585	9233.635998
586	9216.947478
587	9197.754449
588	9195.054139
589	9193.855874
590	9185.48718
591	9183.952305
592	9175.468474
593	9174.31411
594	9163.14046
595	9150.825748
596	9142.232624
597	9141.223393
598	9125.996021
599	9119.432027
600	9114.299719
601	9101.797354
602	9086.096006
603	9073.012039
604	9069.449646
605	9050.979104
606	9049.857085
607	9033.624987
608	9023.105133
609	9009.733166
610	8996.107738
611	8980.561266
612	8966.307599
613	8950.945213
614	8929.140097
615	8920.896457
616	8905.39164
617	8892.575248
618	8880.541794
619	8865.079443
620	8863.57274
621	8852.191902
622	8846.465955
623	8836.046776
624	8824.695208
625	8804.78463
626	8788.485837
627	8777.153385
628	8762.27433
629	8750.835763
630	8742.404332
631	8731.95296
632	8719.430167
633	8701.820455
634	8684.04182
635	8671.214489
636	8652.342706
637	8647.481133
638	8632.676687
639	8631.673821
640	8627.788219
641	8610.672275
642	8593.816634
643	8580.409435
644	8575.763379
645	8561.240822
646	8545.076647
647	8534.305962
648	8529.620259
649	8525.638733
650	8517.979821
651	8500.927175
652	8494.03171
653	8482.372798
654	8481.566228
655	8477.75565
656	8472.311345
657	8458.425675
658	8457.50438
659	8441.930824
660	8435.676471
661	8434.542862
662	8421.47741
663	8413.253725
664	8406.029481
665	8393.735475
666	8387.960347
667	8374.349799
668	8366.962964
669	8359.571698
670	8358.656122
671	8350.706913
672	8338.908959
673	8324.245159
674	8316.795852
675	8300.476341
676	8299.322808
677	8290.186445
678	8285.675461
679	8269.87551
680	8265.581009
681	8257.47636
682	8247.584353
683	8239.372551
684	8231.733652
685	8227.410576
686	8214.820859
687	8210.877271
688	8202.972352
689	8196.408288
690	8188.6297
691	8179.649034
692	8177.53598
693	8171.317467
694	8166.594877
695	8151.757905
696	8140.759923
697	8140.031394
698	8128.610038
699	8125.052539
700	8117.323394
701	8104.79435
702	8104.037512
703	8094.355398
704	8087.570846
705	8069.961501
706	8056.192819
707	8055.43637
708	8048.202667
709	8041.632914
710	8032.271246
711	8026.506483
712	8014.37941
713	8003.981339
714	8000.767411
715	7991.203132
716	7982.095897
717	7981.367424
718	7969.400418
719	7968.380872
720	7954.544773
721	7938.695948
722	7926.430881
723	7924.436885
724	7905.763739
725	7904.768574
726	7895.521351
727	7894.349276
728	7886.135729
729	7876.048509
730	7863.390786
731	7857.673526
732	7847.586401
733	7838.457126
734	7822.65315
735	7818.745093
736	7809.898122
737	7797.580863
738	7786.581594
739	7786.013309
740	7767.794999
741	7758.858479
742	7747.723102
743	7739.134817
744	7723.922825
745	7722.493031
746	7714.997832
747	7711.137006
748	7707.238253
749	7704.430487
750	7698.87166
751	7685.732312
752	7674.983061
753	7667.14124
754	7658.842321
755	7658.177308
756	7650.956403
757	7640.153984
758	7633.014503
759	7626.355912
760	7623.141945
761	7613.796291
762	7605.175585
763	7590.624459
764	7589.601332
765	7582.514238
766	7569.88398
767	7565.973033
768	7557.402487
769	7549.087343
770	7545.81649
771	7538.484244
772	7533.037124
773	7523.192596
774	7516.892024
775	7514.271711
776	7498.107843
777	7484.826667
778	7472.738887
779	7461.729987
780	7454.594022
781	7444.23577
782	7433.733515
783	7420.115036
784	7419.008541
785	7407.733008
786	7405.934477
787	7395.492794
788	7387.84066
789	7375.515843
790	7366.467348
791	7364.677976
792	7352.038188
793	7348.904527
794	7344.225215
795	7339.821289
796	7334.370225
797	7323.145815
798	7322.545797
799	7312.307246
800	7300.703161
801	7289.816264
802	7279.860821
803	7279.314558
804	7274.830769
805	7267.894138
806	7256.720434
807	7252.424083
808	7242.405184
809	7233.367575
810	7226.374227
811	7210.908401
812	7210.306008
813	7199.010545
814	7184.429751
815	7177.423181
816	7167.74071
817	7154.803384
818	7145.933823
819	7144.313687
820	7138.523297
821	7133.039508
822	7126.091967
823	7123.783541
824	7114.133605
825	7105.77094
826	7096.797774
827	7090.734398
828	7085.631037
829	7082.203679
830	7070.505452
831	7070.053712
832	7063.343095
833	7052.885911
834	7043.553306
835	7036.725634
836	7029.274688
837	7019.010955
838	7015.69954
839	7008.50981
840	7001.247878
841	6990.195637
842	6982.180806
843	6974.718932
844	6963.836697
845	6955.507354
846	6949.610942
847	6948.795235
848	6940.894111
849	6933.004986
850	6923.494058
851	6913.625425
852	6904.947889
853	6899.995391
854	6890.738216
855	6881.249916
856	6873.859161
857	6865.467927
858	6853.569704
859	6847.252239
860	6837.427495
861	6829.323295
862	6822.658914
863	6811.460031
864	6803.39849
865	6795.007074
866	6782.87702
867	6769.553903
868	6762.360662
869	6755.049197
870	6750.628377
871	6748.801933
872	6743.236379
873	6729.36953
874	6718.558614
875	6715.363457
876	6707.807427
877	6698.726394
878	6689.15757
879	6673.56858
880	6667.628874
881	6660.663908
882	6646.978653
883	6639.694713
884	6639.081169
885	6626.647711
886	6620.810431
887	6614.253827
888	6608.104428
889	6606.268518
890	6597.607942
891	6591.637007
892	6585.267344
893	6580.175122
894	6579.032392
895	6578.017017
896	6570.786017
897	6565.171018
898	6555.758652
899	6543.731696
900	6538.202521
901	6530.279012
902	6526.643366
903	6522.364402
904	6521.928349
905	6518.445701
906	6509.367116
907	6506.541585
908	6501.085138
909	6498.687652
910	6495.108579
911	6486.481289
912	6483.946624
913	6477.941783
914	6476.740946
915	6476.126691
916	6467.626718
917	6454.492192
918	6448.017496
919	6440.729055
920	6434.776551
921	6431.041759
922	6424.725436
923	6420.823237
924	6416.121895
925	6408.342407
926	6407.828333
927	6399.502069
928	6398.863975
929	6390.254981
930	6384.446302
931	6382.54987
932	6379.281714
933	6376.4489
934	6369.575089
935	6360.649295
936	6354.219787
937	6345.63649
938	6326.271594
939	6322.011232
940	6316.10278
941	6309.384671
942	6295.444396
943	6285.99141
944	6279.181994
945	6274.625844
946	6264.902033
947	6256.633835
948	6248.483943
949	6245.977675
950	6243.337234
951	6237.845554
952	6226.944386
953	6224.56448
954	6223.532466
955	6222.908401
956	6219.143107
957	6206.968117
958	6200.044912
959	6199.559813
960	6193.668351
961	6185.071232
962	6178.10729
963	6172.548694
964	6170.249642
965	6161.503696
966	6158.582386
967	6151.119522
968	6145.416146
969	6137.575831
970	6123.017517
971	6117.002917
972	6109.168667
973	6099.590002
974	6095.926816
975	6095.39692
976	6087.355134
977	6080.823167
978	6069.030326
979	6068.261841
980	6063.249476
981	6055.840525
982	6053.606747
983	6050.32093
984	6039.375767
985	6035.518187
986	6025.232988
987	6017.534822
988	6013.938113
989	6010.753236
990	6006.26288
991	6002.009644
992	5996.002346
993	5995.220667
994	5984.994644
995	5976.51337
996	5969.984427
997	5960.285225
998	5959.55014
999	5953.140731
